ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
52,Cesar,DiazCaraveo,3177.86,0,TRUE,diazcaraveocesar,Fun!23
53,Hector,Diaz,3130.25,0,TRUE,diazhector,Fun!23
54,Marco,GarciaFernandez,5252.75,0,FALSE,garciafernandezmarco,Fun!23
55,Christian,Garcia,5244.23,0,TRUE,garciachristian,Fun!23
56,Isabella,Garcia,2103.76,0,FALSE,garciaisabella,Fun!23
57,Jorge,Garcia,1752.09,0,TRUE,garciajorge,Fun!23
58,Eric,Gardea,1792,0,FALSE,gardeaeric,Fun!23
59,Derek,Gomez,1032.97,0,TRUE,gomezderek,Fun!23
60,Maria,Gonzalez,4368.1,0,TRUE,gonzalezmaria,Fun!23
61,Kevin,Guerra,1737.37,0,FALSE,guerrakevin,Fun!23
62,Ian,Gutierrez,4257.99,0,TRUE,gutierrezian,Fun!23
63,Alan,Holguin,2408.19,0,TRUE,holguinalan,Fun!23
64,Jazmin,Huerta,1039.08,0,FALSE,huertajazmin,Fun!23
65,Michael,Ike,2431.57,0,TRUE,ikemichael,Fun!23
66,Jorge,Jaquez,4593.26,0,FALSE,jaquezjorge,Fun!23
67,Roberto,Johnson,4079.61,0,FALSE,johnsonroberto,Fun!23
68,Kimberly,Kocian,1404.24,0,FALSE,kociankimberly,Fun!23
69,Erik,Laneave,4888.59,0,FALSE,laneaveerik,Fun!23
70,Devin,Lara,1002.06,0,FALSE,laradevin,Fun!23
71,Caleb,Lopez,5973.77,0,TRUE,lopezcaleb,Fun!23
72,Claire,Macdonald,2299.86,0,FALSE,macdonaldclaire,Fun!23
73,Sebastian,Mercado,2457.83,0,FALSE,mercadosebastian,Fun!23
74,Natalia,MestaValenzuela,1867.89,0,TRUE,mestavalenzuelanatalia,Fun!23
75,Christin,Moreno,865.6,0,FALSE,morenochristin,Fun!23
76,Saeefa,Nowmi,4681.9,0,FALSE,nowmisaeefa,Fun!23
77,Christian,Odom,1121.89,0,FALSE,odomchristian,Fun!23
78,Marko,Padilla,5742.1,0,FALSE,padillamarko,Fun!23
79,Raul,Pallares,4260.39,0,TRUE,pallaresraul,Fun!23
80,Diego,Pedraza,1134.68,0,TRUE,pedrazadiego,Fun!23
81,Anaiah,Quinn,3179.88,0,FALSE,quinnanaiah,Fun!23
82,Luis,Quinones,4429.14,0,TRUE,quinonesluis,Fun!23
83,Fernando,Remes,2500.57,0,FALSE,remesfernando,Fun!23
84,Ashley,Rivas,5861.44,0,FALSE,rivasashley,Fun!23
85,Adrian,Rocha,1407.4,0,FALSE,rochaadrian,Fun!23
86,Christian,Rodriguez,2533.41,0,FALSE,rodriguezchristian,Fun!23
87,Sabas,Rojas,4565.65,0,FALSE,rojassabas,Fun!23
88,Edgar,Ruiz,4612.6,0,FALSE,ruizedgar,Fun!23
89,Salvador,Ruiz,2014.15,0,TRUE,ruizsalvador,Fun!23
90,Jorge,Sandoval,4670.88,0,FALSE,sandovaljorge,Fun!23
91,Fernando,Sepulveda,5125.57,0,FALSE,sepulvedafernando,Fun!23
92,William,Staker,3953,0,FALSE,stakerwilliam,Fun!23
93,Angel,UrbinaAraiza,3619.53,0,FALSE,urbinaaraizaangel,Fun!23
94,Martin,Vallecillo,5575.62,0,TRUE,vallecillomartin,Fun!23
95,Javier,Vazquez,4682.13,0,FALSE,vazquezjavier,Fun!23
96,Walter,Wawra,1701.51,0,FALSE,wawrawalter,Fun!23
97,Zachary,Wittmann,1424.93,0,TRUE,wittmannzachary,Fun!23
98,Maria,Zuany,3110.3,0,FALSE,zuanymaria,Fun!23
